"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","Orders page has correct title","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderHistoryTrackingTests","Order History and Tracking","com.example.OrderHistoryTrackingTests","ordersPageTitleCorrect"
"","1088","cardFieldsVisibleOnSelection","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.PaymentProcessingTests","Payment Processing","com.example.PaymentProcessingTests","cardFieldsVisibleOnSelection"
"","160","Cart summary and checkout button visible when cart has items","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.CartManagementTests","Cart Management","com.example.CartManagementTests","cartSummaryVisibleWhenHasItems"
"","5","navigateFromCartToCheckout","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderPlacementTests","Order Placement","com.example.OrderPlacementTests","navigateFromCartToCheckout"
"","27","Home page title is correct","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.ProductSearchListingTests","Product Search and Listing","com.example.ProductSearchListingTests","homePageTitleCorrect"
"","67","billingAddressFieldAcceptsInput","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.PaymentProcessingTests","Payment Processing","com.example.PaymentProcessingTests","billingAddressFieldAcceptsInput"
"","115","Start Shopping navigates to home","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderHistoryTrackingTests","Order History and Tracking","com.example.OrderHistoryTrackingTests","startShoppingNavigatesToHome"
"","15","payNowButtonPresent","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderPlacementTests","Order Placement","com.example.OrderPlacementTests","payNowButtonPresent"
"","1153","cardNumberFieldAcceptsInput","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.PaymentProcessingTests","Payment Processing","com.example.PaymentProcessingTests","cardNumberFieldAcceptsInput"
"","145","billingFieldsAcceptInput","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderPlacementTests","Order Placement","com.example.OrderPlacementTests","billingFieldsAcceptInput"
"","4","paymentPageLoadedSuccessfully","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.PaymentProcessingTests","Payment Processing","com.example.PaymentProcessingTests","paymentPageLoadedSuccessfully"
"","922","signupToggleWorks","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.LoginRegistrationTests","Login and Registration","com.example.LoginRegistrationTests","signupToggleWorks"
"","0","loginModuleExecutionComplete","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.LoginRegistrationTests","Login and Registration","com.example.LoginRegistrationTests","loginModuleExecutionComplete"
"","31","Orders page loads successfully","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderHistoryTrackingTests","Order History and Tracking","com.example.OrderHistoryTrackingTests","ordersPageLoads"
"","445","emailFieldAcceptsInput","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.LoginRegistrationTests","Login and Registration","com.example.LoginRegistrationTests","emailFieldAcceptsInput"
"","43","Cart and Orders links present on home","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.ProductSearchListingTests","Product Search and Listing","com.example.ProductSearchListingTests","cartAndOrdersLinksPresent"
"","126","Browse Shoes from empty cart goes to home","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.CartManagementTests","Cart Management","com.example.CartManagementTests","browseShoesFromEmptyCartGoesToHome"
"","28","checkoutPageLoadsWithForm","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderPlacementTests","Order Placement","com.example.OrderPlacementTests","checkoutPageLoadsWithForm"
"","39","Orders link in nav is present on orders page","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderHistoryTrackingTests","Order History and Tracking","com.example.OrderHistoryTrackingTests","ordersNavLinkPresent"
"","1700","signupWithDummyUser","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.LoginRegistrationTests","Login and Registration","com.example.LoginRegistrationTests","signupWithDummyUser"
"","74","Order History heading present","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderHistoryTrackingTests","Order History and Tracking","com.example.OrderHistoryTrackingTests","orderHistoryHeadingPresent"
"","65","billingNameFieldAcceptsInput","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.PaymentProcessingTests","Payment Processing","com.example.PaymentProcessingTests","billingNameFieldAcceptsInput"
"","50","Cart badge on nav shows count","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.CartManagementTests","Cart Management","com.example.CartManagementTests","cartBadgeShowsCount"
"","1197","multipleCardEntriesAllowed","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.PaymentProcessingTests","Payment Processing","com.example.PaymentProcessingTests","multipleCardEntriesAllowed"
"","5","paymentPageAccessible","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.PaymentProcessingTests","Payment Processing","com.example.PaymentProcessingTests","paymentPageAccessible"
"","1100","cardTabShowsCardFields","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderPlacementTests","Order Placement","com.example.OrderPlacementTests","cardTabShowsCardFields"
"","2181","switchBetweenPaymentModes","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.PaymentProcessingTests","Payment Processing","com.example.PaymentProcessingTests","switchBetweenPaymentModes"
"","23","loginPageAccessibleDirectly","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.LoginRegistrationTests","Login and Registration","com.example.LoginRegistrationTests","loginPageAccessibleDirectly"
"","250","multipleSignupFlowWorks","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.LoginRegistrationTests","Login and Registration","com.example.LoginRegistrationTests","multipleSignupFlowWorks"
"","0","userStaysOnPaymentPage","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.PaymentProcessingTests","Payment Processing","com.example.PaymentProcessingTests","userStaysOnPaymentPage"
"","27","pageTitleExists","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.LoginRegistrationTests","Login and Registration","com.example.LoginRegistrationTests","pageTitleExists"
"","1","paymentModuleExecutionComplete","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.PaymentProcessingTests","Payment Processing","com.example.PaymentProcessingTests","paymentModuleExecutionComplete"
"","4","pageTitleExists","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.PaymentProcessingTests","Payment Processing","com.example.PaymentProcessingTests","pageTitleExists"
"","129","Home page displays shoe grid","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.ProductSearchListingTests","Product Search and Listing","com.example.ProductSearchListingTests","homePageDisplaysShoeGrid"
"","226","loginToggleWorks","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.LoginRegistrationTests","Login and Registration","com.example.LoginRegistrationTests","loginToggleWorks"
"","47","Empty cart shows empty message","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.CartManagementTests","Cart Management","com.example.CartManagementTests","emptyCartShowsEmptyMessage"
"","109","Search by category filters results","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.ProductSearchListingTests","Product Search and Listing","com.example.ProductSearchListingTests","searchByCategoryFiltersResults"
"","177","navigateBackAndReturn","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.PaymentProcessingTests","Payment Processing","com.example.PaymentProcessingTests","navigateBackAndReturn"
"","131","loginPageLoads","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.LoginRegistrationTests","Login and Registration","com.example.LoginRegistrationTests","loginPageLoads"
"","22","paymentTotalReflectsCart","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.PaymentProcessingTests","Payment Processing","com.example.PaymentProcessingTests","paymentTotalReflectsCart"
"","161","Subtotal and grand total displayed","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.CartManagementTests","Cart Management","com.example.CartManagementTests","subtotalAndGrandTotalDisplayed"
"","1164","paymentMethodTabsClickable","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderPlacementTests","Order Placement","com.example.OrderPlacementTests","paymentMethodTabsClickable"
"","59","Shoe cards show price","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.ProductSearchListingTests","Product Search and Listing","com.example.ProductSearchListingTests","shoeCardsShowPrice"
"","1211","expiryAndCvvAcceptInput","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.PaymentProcessingTests","Payment Processing","com.example.PaymentProcessingTests","expiryAndCvvAcceptInput"
"","1147","upiIdFieldAcceptsInput","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.PaymentProcessingTests","Payment Processing","com.example.PaymentProcessingTests","upiIdFieldAcceptsInput"
"","1257","Proceed to Checkout navigates to payment page","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.CartManagementTests","Cart Management","com.example.CartManagementTests","checkoutNavigatesToPayment"
"","138","No results message when search has no match","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.ProductSearchListingTests","Product Search and Listing","com.example.ProductSearchListingTests","noResultsMessageWhenNoMatch"
"","33","Orders page accessible after login","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderHistoryTrackingTests","Order History and Tracking","com.example.OrderHistoryTrackingTests","ordersPageAccessibleAfterLogin"
"","51","Orders list container exists","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderHistoryTrackingTests","Order History and Tracking","com.example.OrderHistoryTrackingTests","ordersListContainerExists"
"","78","longAddressAccepted","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.PaymentProcessingTests","Payment Processing","com.example.PaymentProcessingTests","longAddressAccepted"
"","44","Empty state message is user-friendly","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderHistoryTrackingTests","Order History and Tracking","com.example.OrderHistoryTrackingTests","emptyStateMessageUserFriendly"
"","158","Cart page shows added item after adding from product","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.CartManagementTests","Cart Management","com.example.CartManagementTests","cartShowsAddedItem"
"","5","checkoutPageTitleCorrect","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderPlacementTests","Order Placement","com.example.OrderPlacementTests","checkoutPageTitleCorrect"
"","1204","multipleUpiEntriesAllowed","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.PaymentProcessingTests","Payment Processing","com.example.PaymentProcessingTests","multipleUpiEntriesAllowed"
"","136","Add to cart from product page increases cart count","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.CartManagementTests","Cart Management","com.example.CartManagementTests","addToCartIncreasesCount"
"","1091","upiFieldsVisibleOnSelection","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.PaymentProcessingTests","Payment Processing","com.example.PaymentProcessingTests","upiFieldsVisibleOnSelection"
"","29","Cart page title is correct","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.CartManagementTests","Cart Management","com.example.CartManagementTests","cartPageTitleCorrect"
"","131","passwordFieldAcceptsInput","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.LoginRegistrationTests","Login and Registration","com.example.LoginRegistrationTests","passwordFieldAcceptsInput"
"","288","switchingModesMultipleTimesWorks","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.LoginRegistrationTests","Login and Registration","com.example.LoginRegistrationTests","switchingModesMultipleTimesWorks"
"","29","loginPageUrlValid","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.LoginRegistrationTests","Login and Registration","com.example.LoginRegistrationTests","loginPageUrlValid"
"","109","emptySubmitDoesNotCrash","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.LoginRegistrationTests","Login and Registration","com.example.LoginRegistrationTests","emptySubmitDoesNotCrash"
"","1091","upiTabShowsUpiField","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderPlacementTests","Order Placement","com.example.OrderPlacementTests","upiTabShowsUpiField"
"","104","submitButtonClickable","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.LoginRegistrationTests","Login and Registration","com.example.LoginRegistrationTests","submitButtonClickable"
"","29","checkoutHasBillingSection","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderPlacementTests","Order Placement","com.example.OrderPlacementTests","checkoutHasBillingSection"
"","236","Multiple items in cart show correct count","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.CartManagementTests","Cart Management","com.example.CartManagementTests","multipleItemsShowCorrectCount"
"","46","New user sees empty orders message","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderHistoryTrackingTests","Order History and Tracking","com.example.OrderHistoryTrackingTests","newUserSeesEmptyOrders"
"","20","orderTotalDisplayedOnCheckout","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderPlacementTests","Order Placement","com.example.OrderPlacementTests","orderTotalDisplayedOnCheckout"
"","174","Search by name filters results","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.ProductSearchListingTests","Product Search and Listing","com.example.ProductSearchListingTests","searchByNameFiltersResults"
"","39","Start Shopping link present when no orders","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderHistoryTrackingTests","Order History and Tracking","com.example.OrderHistoryTrackingTests","startShoppingLinkPresent"
"","44","Search input has correct placeholder","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.ProductSearchListingTests","Product Search and Listing","com.example.ProductSearchListingTests","searchInputHasPlaceholder"
